;0
0;-6.283195714836084
1;-6.4351890443260364
2;-6.864225516068267
3;-5.803607743910932
4;-6.419226362023916
5;-7.567858233255837
6;-6.569545434775437
7;-7.3717053756238355
8;-6.2565482692634955
9;-8.193976607615875
10;-7.993968090325037
11;-7.466778773637168
12;-8.594906940881023
13;-8.766650826126542
14;-8.167808968037296
15;-8.181237537511853
16;-8.710472367644925
17;-7.745918778889852
18;-8.505380810306068
19;-8.780699426290154
20;-8.700240036821612
21;-8.132919380671531
22;-8.282284989236345
23;-8.561979705293284
24;-7.770810967866504
25;-7.136182646516455
26;-8.143486896830927
27;-7.2635591290775
28;-6.164251139727623
29;-5.337877180656155
30;-4.804967868962361
31;-5.714623281500446
32;-5.616484471502898
33;-5.701457109997977
34;-6.668004099687363
35;-5.2080176667996465
36;-5.341801657311201
37;-5.688118831384742
38;-4.812167566234007
39;-5.025247174674145
40;-4.101690393632998
41;-3.649451523138887
42;-3.7076282612194107
43;-3.8627378580291922
44;-3.0920982456294306
45;-3.451244786260147
46;-2.27460300427264
47;-2.7398857016661764
48;-2.691322135779903
49;-1.4498462173270887
50;0.4487918422981049
51;-0.4363153741295392
52;-0.029274513229002874
53;-0.6861792922804931
54;0.7938448660269614
55;-0.16746647024404482
56;-0.6908380034824919
57;1.4893215854227442
58;1.1358316051246962
59;0.9611822519199033
60;1.2001150030474372
61;1.1918008853097288
62;0.34238439313587743
63;1.922882349238258
64;2.1878356618631174
65;1.4460902136596745
66;3.3402206891021033
67;2.924710435051186
68;4.45166024687667
69;5.878561013553936
70;6.9379321955462965
71;6.9774869423305645
72;6.804341010806508
73;8.567691242165441
74;7.042838657883387
75;6.046211692491291
76;6.807253724479299
77;7.07677638924259
78;6.267803154674808
79;7.228243783507399
80;6.678242043417916
81;6.5908578169087
82;6.317624061775945
83;8.096037000833842
84;7.386613670771506
85;6.855105630306145
86;8.073452675265132
87;7.39469851740712
88;6.542549976210511
89;6.279026802812472
90;5.997121785369896
91;5.33290113518765
92;4.502797721362656
93;4.0450494180746634
94;4.1886505313420495
95;3.609067773655261
96;4.031545963497072
97;4.446663201872566
98;4.098782599909937
99;3.570033607611094
100;3.0179095975814176
101;2.845995761708531
102;2.879566308872151
103;2.4306214230272363
104;2.663459600832119
105;2.4340290002559977
106;1.68966113056683
107;1.7376621245371333
108;1.4848441443695428
109;1.6687905645028152
110;2.286789057079782
111;2.3423221259786287
112;2.400663054200244
113;2.658714818876894
114;1.8044171789354022
115;1.4647503468484866
116;2.1945239503997684
117;2.350800661171739
118;2.688317738327883
119;2.7636617128562224
120;2.541124023808077
121;3.7035784110912138
122;4.0388184244088166
123;4.740988092964153
124;5.419331002806616
125;6.6074871609502095
126;8.28092832863631
127;8.536503066936657
128;8.942330250723577
129;10.114682064863484
130;9.804202887119375
131;8.036529243272305
132;8.20004394062592
133;8.210241071417062
134;8.826544839402384
135;9.502135172216901
136;9.022094611283151
137;10.177097217190124
138;11.306862627197892
139;10.32048245850271
